iter	Passed	Remaining
189	3229	13765
190	3249	13763
191	3267	13750
192	3284	13735
193	3301	13714
194	3317	13693
195	3337	13691
196	3352	13664
197	3367	13638
198	3383	13620
199	3399	13599
200	3415	13576
201	3435	13571
202	3451	13552
203	3466	13526
204	3481	13502
205	3497	13481
206	3513	13461
207	3530	13441
208	3548	13430
209	3564	13407
210	3579	13386
211	3599	13377
212	3614	13354
213	3634	13349
214	3651	13332
215	3667	13313
216	3683	13290
217	3698	13268
218	3713	13242
219	3728	13218
220	3746	13207
221	3763	13189
222	3780	13173
223	3795	13149
224	3810	13125
225	3826	13104
226	3842	13085
227	3860	13072
228	3875	13049
229	3891	13029
230	3907	13009
231	3927	13002
232	3947	12994
233	3967	12986
234	3983	12968
235	3999	12948
236	4016	12929
237	4033	12914
238	4049	12895
239	4067	12879
240	4084	12863
241	4101	12848
242	4118	12828
243	4134	12810
244	4151	12794
245	4169	12780
246	4185	12759
247	4201	12740
248	4217	12721
249	4234	12704
250	4253	12693
251	4273	12683
252	4288	12662
253	4303	12638
254	4319	12619
255	4335	12600
256	4352	12582
257	4370	12568
258	4385	12547
259	4401	12527
260	4423	12524
261	4439	12505
262	4455	12486
263	4471	12465
264	4488	12449
265	4504	12428
266	4519	12408
267	4536	12389
268	4552	12371
269	4567	12349
270	4586	12338
271	4602	12319
272	4617	12295
273	4632	12273
274	4648	12256
275	4664	12234
276	4683	12223
277	4697	12200
278	4720	12197
279	4744	12199
280	4767	12198
281	4785	12184
282	4810	12188
283	4839	12200
284	4865	12206
285	4886	12197
286	4907	12191
287	4924	12174
288	4940	12155
289	4957	12136
290	4973	12116
291	4989	12097
292	5006	12079
293	5022	12060
294	5038	12040
295	5055	12024
296	5072	12006
297	5088	11987
298	5107	11973
299	5124	11957
300	5141	11938
301	5156	11918
302	5172	11899
303	5189	11880
304	5205	11861
305	5230	11861
306	5245	11841
307	5261	11820
308	5276	11798
309	5290	11775
310	5306	11755
311	5325	11743
312	5340	11720
313	5355	11701
314	5371	11680
315	5390	11668
316	5408	11654
317	5423	11631
318	5442	11619
319	5458	11599
320	5474	11579
321	5489	11558
322	5503	11536
323	5519	11516
324	5538	11502
325	5555	11486
326	5571	11466
327	5585	11443
328	5601	11423
329	5621	11414
330	5638	11395
331	5655	11379
332	5670	11358
333	5686	11338
334	5700	11316
335	5723	11310
336	5743	11299
337	5758	11279
338	5775	11260
339	5790	11241
340	5806	11221
341	5822	11202
342	5838	11183
343	5856	11168
344	5873	11150
345	5889	11132
346	5906	11115
347	5936	11121
348	5950	11100
349	5968	11083
350	5983	11063
351	5998	11042
352	6013	11021
353	6034	11011
354	6051	10994
355	6067	10975
356	6082	10955
357	6098	10936
358	6112	10913
359	6127	10892
360	6143	10874
361	6161	10858
362	6176	10837
363	6192	10819
364	6211	10806
365	6226	10786
366	6241	10766
367	6258	10747
368	6276	10733
369	6290	10711
370	6307	10693
371	6324	10676
372	6340	10657
373	6355	10638
374	6377	10628
375	6393	10610
376	6410	10592
377	6428	10577
378	6443	10557
379	6458	10536
380	6475	10521
381	6490	10500
382	6505	10479
383	6521	10461
384	6539	10446
385	6557	10430
386	6571	10409
387	6590	10394
388	6604	10374
389	6622	10358
390	6637	10337
391	6651	10316
392	6667	10298
393	6686	10284
394	6703	10267
395	6718	10248
396	6733	10228
397	6749	10208
398	6764	10189
399	6780	10171
400	6799	10156
401	6816	10140
402	6832	10121
403	6847	10102
404	6865	10086
405	6882	10069
406	6899	10052
407	6916	10035
408	6930	10014
409	6947	9997
410	6962	9977
411	6977	9958
412	6995	9943
413	7011	9924
414	7029	9909
415	7045	9891
416	7060	9871
417	7076	9852
418	7092	9834
419	7110	9818
420	7125	9799
421	7141	9781
422	7157	9762
423	7172	9744
424	7190	9728
425	7213	9719
426	7227	9698
427	7243	9681
428	7258	9661
429	7274	9642
430	7290	9624
431	7308	9608
432	7323	9590
433	7339	9571
434	7358	9557
435	7375	9540
436	7389	9520
437	7405	9502
438	7424	9487
439	7438	9467
440	7454	9449
441	7470	9430
442	7486	9413
443	7504	9398
444	7524	9384
445	7540	9366
446	7554	9346
447	7570	9327
448	7586	9310
449	7602	9291
450	7626	9283
451	7641	9264
452	7656	9245
453	7671	9226
454	7689	9210
455	7705	9192
456	7720	9173
457	7738	9157
458	7754	9139
459	7768	9119
460	7784	9101
461	7800	9083
462	7817	9066
463	7835	9051
464	7852	9035
465	7870	9018
466	7885	9000
467	7899	8980
468	7916	8962
469	7934	8947
470	7950	8929
471	7964	8909
472	7980	8891
473	7997	8874
474	8019	8863
475	8036	8846
476	8051	8827
477	8067	8809
478	8082	8790
479	8097	8772
480	8114	8755
481	8130	8738
482	8150	8723
483	8164	8704
484	8182	8688
485	8199	8671
486	8214	8652
487	8229	8634
488	8247	8618
489	8262	8599
490	8277	8581
491	8293	8562
492	8309	8545
493	8326	8528
494	8342	8510
495	8362	8497
496	8378	8479
497	8395	8463
498	8413	8447
499	8429	8429
500	8444	8410
501	8462	8394
502	8477	8376
503	8492	8358
504	8507	8338
505	8526	8324
506	8542	8306
507	8560	8290
508	8575	8271
509	8590	8253
510	8605	8234
511	8621	8217
512	8636	8198
513	8652	8181
514	8671	8166
515	8688	8149
516	8706	8133
517	8720	8114
518	8735	8096
519	8751	8078
520	8770	8063
521	8785	8044
522	8805	8031
523	8820	8012
524	8834	7993
525	8853	7978
526	8870	7961
527	8884	7942
528	8899	7923
529	8915	7906
530	8931	7888
531	8947	7871
532	8965	7855
533	8982	7838
534	8998	7820
535	9018	7806
536	9033	7788
537	9047	7769
538	9064	7753
539	9084	7738
540	9099	7720
541	9115	7702
542	9129	7683
543	9145	7666
544	9161	7648
545	9183	7635
546	9202	7621
547	9218	7603
548	9232	7584
549	9247	7566
550	9261	7547
551	9276	7528
552	9295	7513
553	9311	7496
554	9328	7479
555	9346	7463
556	9362	7446
557	9377	7428
558	9395	7412
559	9411	7394
560	9426	7376
561	9440	7357
562	9456	7340
563	9473	7323
564	9492	7308
565	9509	7291
566	9525	7274
567	9540	7255
568	9555	7238
569	9577	7225
570	9593	7207
571	9611	7191
572	9626	7173
573	9643	7156
574	9665	7143
575	9690	7133
576	9712	7120
577	9729	7103
578	9745	7086
579	9761	7068
580	9777	7051
581	9793	7033
582	9813	7019
583	9834	7005
584	9854	6990
585	9868	6972
586	9884	6954
587	9901	6937
588	9922	6923
589	9936	6905
590	9950	6886
591	9966	6868
592	9982	6851
593	10005	6839
594	10022	6822
595	10037	6804
596	10053	6786
597	10067	6767
598	10081	6749
599	10098	6732
600	10114	6714
601	10133	6699
602	10147	6681
603	10165	6664
604	10183	6648
605	10197	6630
606	10214	6613
607	10232	6597
608	10247	6579
609	10262	6560
610	10277	6543
611	10294	6526
612	10309	6508
613	10330	6494
614	10346	6477
615	10361	6458
616	10376	6441
617	10395	6425
618	10409	6407
619	10425	6390
620	10445	6374
621	10459	6356
622	10475	6339
623	10494	6323
624	10511	6306
625	10530	6291
626	10547	6274
627	10565	6258
628	10581	6241
629	10596	6223
630	10612	6205
631	10627	6188
632	10644	6171
633	10660	6154
634	10676	6137
635	10691	6119
636	10706	6101
637	10722	6083
638	10738	6066
639	10757	6051
640	10776	6035
641	10792	6018
642	10807	6000
643	10825	5984
644	10840	5966
645	10857	5949
646	10872	5932
647	10887	5914
648	10903	5896
649	10920	5880
650	10935	5862
651	10953	5846
652	10968	5828
653	10987	5812
654	11002	5794
655	11017	5777
656	11033	5760
657	11049	5743
658	11075	5731
659	11095	5715
660	11113	5699
661	11131	5683
662	11155	5670
663	11176	5655
664	11193	5638
665	11209	5621
666	11225	5604
667	11241	5587
668	11257	5569
669	11273	5552
670	11290	5535
671	11308	5519
672	11325	5502
673	11340	5485
674	11356	5468
675	11373	5451
676	11391	5434
677	11407	5417
678	11422	5400
679	11438	5383
680	11454	5365
681	11471	5348
682	11489	5332
683	11505	5315
684	11521	5298
685	11537	5281
686	11555	5264
687	11574	5249
688	11593	5232
689	11609	5215
690	11625	5198
691	11643	5182
692	11661	5165
693	11676	5148
694	11693	5131
695	11712	5115
696	11726	5097
697	11741	5080
698	11757	5062
699	11772	5045
700	11788	5028
701	11807	5012
702	11823	4995
703	11839	4977
704	11855	4960
705	11871	4943
706	11887	4926
707	11903	4909
708	11921	4892
709	11937	4875
710	11953	4858
711	11972	4842
712	11993	4827
713	12008	4810
714	12026	4793
715	12041	4776
716	12056	4758
717	12071	4741
718	12086	4723
719	12103	4706
720	12122	4691
721	12139	4674
722	12156	4657
723	12170	4639
724	12185	4622
725	12201	4604
726	12217	4587
727	12235	4571
728	12250	4554
729	12266	4536
730	12284	4520
731	12303	4504
732	12320	4487
733	12336	4470
734	12351	4453
735	12365	4435
736	12382	4418
737	12401	4402
738	12416	4385
739	12434	4368
740	12448	4351
741	12467	4335
742	12483	4318
743	12497	4300
744	12513	4283
745	12530	4266
746	12552	4251
747	12568	4234
748	12584	4217
749	12599	4199
750	12614	4182
751	12632	4166
752	12649	4149
753	12664	4131
754	12679	4114
755	12694	4097
756	12708	4079
757	12724	4062
758	12741	4045
759	12757	4028
760	12773	4011
761	12791	3995
762	12810	3979
763	12827	3962
764	12841	3944
765	12859	3928
766	12873	3910
767	12891	3894
768	12905	3876
769	12922	3859
770	12938	3842
771	12956	3826
772	12973	3809
773	12990	3793
774	13005	3775
775	13020	3758
776	13036	3741
777	13052	3724
778	13070	3708
779	13086	3690
780	13102	3674
781	13118	3656
782	13134	3639
783	13152	3623
784	13169	3606
785	13191	3591
786	13206	3574
787	13222	3557
788	13236	3539
789	13251	3522
790	13270	3506
791	13285	3489
792	13300	3471
793	13320	3455
794	13337	3439
795	13352	3422
796	13366	3404
797	13385	3388
798	13399	3370
799	13414	3353
800	13430	3336
801	13446	3319
802	13464	3303
803	13484	3287
804	13500	3270
805	13518	3253
806	13534	3236
807	13549	3219
808	13565	3202
809	13587	3187
810	13602	3170
811	13619	3153
812	13634	3136
813	13653	3119
814	13669	3102
815	13690	3086
816	13707	3070
817	13724	3053
818	13739	3036
819	13755	3019
820	13771	3002
821	13791	2986
822	13809	2969
823	13828	2953
824	13842	2936
825	13858	2919
826	13874	2902
827	13890	2885
828	13908	2868
829	13924	2851
830	13939	2834
831	13955	2818
832	13979	2802
833	13995	2785
834	14012	2768
835	14027	2751
836	14041	2734
837	14056	2717
838	14072	2700
839	14088	2683
840	14108	2667
841	14122	2650
842	14141	2633
843	14156	2616
844	14170	2599
845	14186	2582
846	14203	2565
847	14221	2549
848	14236	2532
849	14252	2515
850	14268	2498
851	14284	2481
852	14303	2465
853	14321	2448
854	14335	2431
855	14351	2414
856	14367	2397
857	14385	2380
858	14401	2363
859	14417	2347
860	14435	2330
861	14449	2313
862	14469	2297
863	14485	2280
864	14501	2263
865	14516	2246
866	14533	2229
867	14548	2212
868	14563	2195
869	14579	2178
870	14595	2161
871	14610	2144
872	14629	2128
873	14645	2111
874	14661	2094
875	14677	2077
876	14693	2060
877	14709	2043
878	14725	2027
879	14778	2015
880	14846	2005
881	14917	1995
882	14987	1985
883	15016	1970
884	15050	1955
885	15074	1939
886	15099	1923
887	15123	1907
888	15148	1891
889	15172	1875
890	15197	1859
891	15220	1842
892	15247	1826
893	15272	1810
894	15298	1794
895	15321	1778
896	15347	1762
897	15370	1745
898	15396	1729
899	15419	1713
900	15444	1697
901	15468	1680
902	15499	1664
903	15538	1650
904	15587	1636
905	15631	1621
906	15679	1607
907	15721	1592
908	15820	1583
909	15888	1571
910	15948	1558
911	15978	1541
912	16002	1524
913	16028	1508
914	16060	1491
915	16084	1475
916	16113	1458
917	16132	1441
918	16150	1423
919	16169	1406
920	16190	1388
921	16207	1371
922	16226	1353
923	16244	1336
924	16262	1318
925	16281	1301
926	16318	1285
927	16345	1268
928	16373	1251
929	16410	1235
930	16444	1218
931	16474	1202
932	16499	1184
933	16520	1167
934	16541	1149
935	16561	1132
936	16578	1114
937	16594	1096
938	16611	1079
939	16629	1061
940	16645	1043
941	16664	1026
942	16681	1008
943	16697	990
944	16713	972
945	16731	955
946	16747	937
947	16763	919
948	16780	901
949	16796	884
950	16812	866
951	16831	848
952	16848	830
953	16863	813
954	16879	795
955	16898	777
956	16914	760
957	16932	742
958	16947	724
959	16963	706
960	16979	689
961	16997	671
962	17014	653
963	17029	635
964	17047	618
965	17063	600
966	17080	582
967	17095	565
968	17111	547
969	17127	529
970	17144	512
971	17161	494
972	17177	476
973	17192	458
974	17206	441
975	17221	423
976	17236	405
977	17254	388
978	17270	370
979	17286	352
980	17308	335
981	17323	317
982	17341	299
983	17359	282
984	17374	264
985	17390	246
986	17406	229
987	17421	211
988	17438	193
989	17455	176
990	17472	158
991	17490	141
992	17509	123
993	17525	105
994	17541	88
995	17558	70
996	17575	52
997	17592	35
998	17607	17
999	17623	0
